report_date,category,revenue
18/06/2022,Set,744533.0
18/06/2022,Top,92392.0
18/06/2022,Western Dress,168412.0
18/06/2022,kurta,431236.0
19/06/2022,Blouse,6934.0
19/06/2022,Bottom,1668.0
19/06/2022,Ethnic Dress,19403.0
19/06/2022,Saree,1544.0
19/06/2022,Set,701829.0
19/06/2022,Top,88220.0
19/06/2022,Western Dress,143781.0
19/06/2022,kurta,392906.0
20/06/2022,Blouse,8961.0
20/06/2022,Bottom,1793.0
20/06/2022,Ethnic Dress,20962.0
20/06/2022,Saree,659.0
20/06/2022,Set,686148.0
20/06/2022,Top,87239.0
20/06/2022,Western Dress,149392.0
20/06/2022,kurta,415973.0
21/06/2022,Blouse,10169.0
21/06/2022,Bottom,2365.0
21/06/2022,Ethnic Dress,22584.0
21/06/2022,Saree,885.0
21/06/2022,Set,696474.0
21/06/2022,Top,94049.0
21/06/2022,Western Dress,144615.0
21/06/2022,kurta,444863.0
22/06/2022,Blouse,10455.0
22/06/2022,Bottom,3900.0
22/06/2022,Ethnic Dress,24648.0
22/06/2022,Saree,1559.0
22/06/2022,Set,718303.0
22/06/2022,Top,98451.0
22/06/2022,Western Dress,162225.0
22/06/2022,kurta,480450.0
23/06/2022,Blouse,10102.0
23/06/2022,Bottom,4076.0
23/06/2022,Ethnic Dress,17325.0
23/06/2022,Saree,2218.0
23/06/2022,Set,685531.0
23/06/2022,Top,85808.0
23/06/2022,Western Dress,149805.0
23/06/2022,kurta,463975.0
24/06/2022,Blouse,7659.0
24/06/2022,Bottom,3796.0
24/06/2022,Ethnic Dress,13172.0
24/06/2022,Saree,1992.0
24/06/2022,Set,664227.0
24/06/2022,Top,69388.0
24/06/2022,Western Dress,157011.0
24/06/2022,kurta,427005.0
25/06/2022,Blouse,4827.0
25/06/2022,Bottom,3432.0
25/06/2022,Ethnic Dress,12402.0
25/06/2022,Saree,2203.0
25/06/2022,Set,642095.0
25/06/2022,Top,69832.0
25/06/2022,Western Dress,182358.0
25/06/2022,kurta,371084.0
26/06/2022,Blouse,2917.0
26/06/2022,Bottom,4386.0
26/06/2022,Dupatta,915.0
26/06/2022,Ethnic Dress,13860.0
26/06/2022,Saree,1544.0
26/06/2022,Set,663349.0
26/06/2022,Top,95850.0
26/06/2022,Western Dress,243588.0
26/06/2022,kurta,366556.0
27/06/2022,Blouse,5359.0
27/06/2022,Bottom,3266.0
27/06/2022,Dupatta,915.0
27/06/2022,Ethnic Dress,13695.0
27/06/2022,Saree,885.0
27/06/2022,Set,668721.0
27/06/2022,Top,102245.0
27/06/2022,Western Dress,262586.0
27/06/2022,kurta,359699.0
28/06/2022,Blouse,6720.0
28/06/2022,Bottom,3649.0
28/06/2022,Dupatta,915.0
28/06/2022,Ethnic Dress,15069.0
28/06/2022,Saree,1566.0
28/06/2022,Set,644286.0
28/06/2022,Top,99908.0
28/06/2022,Western Dress,246917.0
28/06/2022,kurta,384013.0
29/06/2022,Blouse,7186.0
29/06/2022,Bottom,1876.0
29/06/2022,Ethnic Dress,10161.0
29/06/2022,Saree,1566.0
29/06/2022,Set,466945.0
29/06/2022,Top,65407.0
29/06/2022,Western Dress,170799.0
29/06/2022,kurta,283629.0
30/06/2022,Blouse,3601.0
30/06/2022,Bottom,1554.0
